,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000076604.17,21.5247651943625,-0.882045043992686,0.787656033402505,-1.11983531717829,0.262783946214115,0.716168925130076
ENSG00000086200.19,182.759127380484,-0.310632583320268,0.277372880000227,-1.11990971619148,0.262752237418744,0.716168925130076
ENSG00000102100.18,124.694013284996,0.357724678573095,0.31918873027985,1.1207309175968,0.262402417590763,0.716168925130076
ENSG00000104979.11,30.7336732823068,0.622143996348803,0.554849656676022,1.12128391693693,0.262167029254713,0.716168925130076
ENSG00000106799.17,18.6105659444018,-0.83231705760594,0.742465564025322,-1.12101772517702,0.26228031756834,0.716168925130076
ENSG00000110074.14,128.995932202956,0.408421032557881,0.363713923637674,1.12291833227904,0.261472180891227,0.716168925130076
ENSG00000114491.16,177.860371910724,-0.294516661340022,0.262934258201066,-1.12011520809436,0.262664670672114,0.716168925130076
ENSG00000115109.16,48.6251073719578,-0.531661875703882,0.474802552632837,-1.1197536170683,0.262818769774183,0.716168925130076
ENSG00000115904.17,35.2709986252397,-0.614476539556413,0.547622225923931,-1.12208108156985,0.261827966888072,0.716168925130076
ENSG00000135482.9,11.6626971401566,-1.05093178567016,0.937150646919864,-1.12141179128912,0.262112619345017,0.716168925130076
ENSG00000140939.17,12.9340905223028,-0.953463646020272,0.850197599888043,-1.12146122989035,0.262091585553919,0.716168925130076
ENSG00000147439.16,37.0246905913165,0.572627966432436,0.510708365909065,1.12124258120024,0.262184619076578,0.716168925130076
ENSG00000153130.20,110.599777138167,-0.367721047709646,0.328046272871149,-1.12094261730595,0.262312288775978,0.716168925130076
ENSG00000157542.13,9.14150151387425,-1.14244083869712,1.01889477877226,-1.12125497401579,0.2621793454085,0.716168925130076
ENSG00000167904.18,35.1379834871086,0.629988543823413,0.561283012027046,1.12240800153249,0.26168900390048,0.716168925130076
ENSG00000171109.21,86.6764150893746,-0.404040787589148,0.36067097507355,-1.12024758162687,0.262608272700878,0.716168925130076
ENSG00000181555.24,55.8116424746695,-0.615076260029189,0.549263431541085,-1.11982015315211,0.262790409433131,0.716168925130076
ENSG00000182473.24,327.610653793748,-0.242708617414181,0.216569455567058,-1.12069643791033,0.262417098961986,0.716168925130076
ENSG00000196943.15,19.0349490012607,-0.809690180711292,0.721978292773758,-1.12148826192621,0.262080085191838,0.716168925130076
ENSG00000204221.11,17.6639467441316,-1.13142579457557,1.00963396961631,-1.12062968226549,0.262445524974537,0.716168925130076
ENSG00000286834.1,40.0459874978881,-0.648399070527947,0.578167322477574,-1.12147304996314,0.262086556843647,0.716168925130076
ENSG00000101558.16,225.073927648223,-0.279021582022077,0.249313469906525,-1.11915967527423,0.263072025153627,0.716287983517071
ENSG00000135124.18,36.1350068847054,0.596777273539501,0.533206746404894,1.11922303602351,0.263045000256004,0.716287983517071
ENSG00000169756.19,69.4287887688604,-0.429380901346579,0.383642010487521,-1.11922284215155,0.263045082944176,0.716287983517071
ENSG00000168395.18,65.6791175280876,0.46223935489245,0.413256609387131,1.11852864392892,0.263341279931694,0.716830763052719
ENSG00000162702.10,46.5614750462516,-0.514170993848135,0.459830881998164,-1.11817412439512,0.263492633284254,0.717052404908903
ENSG00000109618.15,45.4070564274815,0.551776884205648,0.493868173815519,1.11725540024727,0.263885139126928,0.717425845825405
ENSG00000131876.20,140.413526808699,-0.349528318843882,0.312784890345738,-1.1174718780614,0.263792617172287,0.717425845825405
ENSG00000203666.15,39.1903506922148,0.648627560590794,0.580584304474986,1.11719789114406,0.263909722103904,0.717425845825405
ENSG00000213928.12,30.2657824040132,-0.65941475678943,0.590025394427409,-1.11760402690694,0.263736148160996,0.717425845825405
ENSG00000072756.20,66.5108490479524,-0.494506989386978,0.4434815434136,-1.11505652654814,0.264826199393592,0.718295646428723
ENSG00000092531.12,224.470459228896,-0.273413307017548,0.245634524862901,-1.11308989308466,0.265669823974182,0.718295646428723
ENSG00000100836.13,19.5131901926104,-0.830596898406044,0.745323231379825,-1.11441165850734,0.265102624054851,0.718295646428723
ENSG00000104205.18,17.6944433179262,0.806568808173945,0.72421387895698,1.11371630896604,0.265400910433897,0.718295646428723
ENSG00000115561.18,166.720496996796,-0.353140017412584,0.316627199622713,-1.11531800752866,0.264714171389521,0.718295646428723
ENSG00000117632.25,771.19373157497,-0.192758449320604,0.173082339773989,-1.11368063068888,0.265416221694229,0.718295646428723
ENSG00000121211.10,9.07756018799802,1.12479906730742,1.00900447836784,1.11476122398078,0.264952757080974,0.718295646428723
ENSG00000131981.18,24.7033495078194,0.749825838271024,0.671956364057996,1.11588471867841,0.264471483748688,0.718295646428723
ENSG00000136243.20,22.8186226435632,0.710712861582901,0.638580464402627,1.11295741288884,0.265726720312733,0.718295646428723
ENSG00000139651.13,32.4026169019471,0.720506263986036,0.646685005406746,1.1141533481712,0.265213405313557,0.718295646428723
ENSG00000142227.14,54.6675896612009,0.488151202253828,0.437938525852071,1.11465690602137,0.264997474541217,0.718295646428723
ENSG00000143321.19,55.0254107757915,-0.495706500657814,0.444710815249381,-1.11467156556522,0.264991190193522,0.718295646428723
ENSG00000144468.19,48.7787804890851,0.565729955035508,0.507357393750051,1.11505215456506,0.264828072788524,0.718295646428723
ENSG00000154265.18,17.2014369197646,-0.877239547912017,0.788099817074723,-1.11310715839037,0.265662409652287,0.718295646428723
ENSG00000157350.15,36.4472933478934,-0.589519220155389,0.529414782775216,-1.11352995672902,0.265480889828733,0.718295646428723
ENSG00000157985.21,9.07756018799802,1.12479906730742,1.00900447836784,1.11476122398078,0.264952757080974,0.718295646428723
ENSG00000166173.12,16.3956995979376,0.947553562110622,0.850211864312561,1.11449110731566,0.265068557346976,0.718295646428723
ENSG00000173599.17,28.3438805084188,-0.71903282214456,0.64575495098364,-1.11347628237197,0.265503929081741,0.718295646428723
ENSG00000184640.22,48.5238134145873,-0.558365051131723,0.501039120823923,-1.11441408050839,0.265101585484919,0.718295646428723
ENSG00000197442.13,12.4567264412135,0.96189054632111,0.863983860577505,1.11332004011992,0.26557100255373,0.718295646428723
ENSG00000198464.16,41.4493471310022,0.578007228770294,0.517904535583957,1.11604975252547,0.264400838715943,0.718295646428723
ENSG00000285725.2,43.9517702192041,0.586489885258375,0.527013837739957,1.11285481188402,0.265770790184374,0.718295646428723
ENSG00000135845.12,41.0979519865405,0.578337619793646,0.519886164530657,1.11243125755377,0.26595277134748,0.718342232880809
ENSG00000146859.8,8.25243615828481,1.54212846869315,1.38610478396288,1.11256269117274,0.26589629139149,0.718342232880809
ENSG00000164611.15,98.7304989146528,-0.398095547113907,0.357936534397657,-1.11219590306374,0.26605392905334,0.718342232880809
ENSG00000167395.12,94.1092879626371,0.447715772799237,0.402622225063126,1.11199964862606,0.266138301415466,0.718342232880809
ENSG00000168575.13,136.336931647025,-0.333382580962823,0.299784253978963,-1.11207502241334,0.266105895055607,0.718342232880809
ENSG00000100036.14,10.6716102811989,-1.04570638487496,0.940543185405938,-1.11181113329064,0.266219363975856,0.718349810005527
ENSG00000140548.12,6.48003844030356,1.34999268972479,1.21438552395987,1.1116673108246,0.266281219800176,0.718349810005527
ENSG00000280145.4,14.9231121968351,0.987809232607816,0.888881375516092,1.11129477995226,0.266441485570984,0.718593107060724
ENSG00000110075.17,139.365545296973,-0.322283967282233,0.290161687578629,-1.11070475903163,0.266695453095297,0.718720710864969
ENSG00000157911.13,41.6175955494532,-0.601248961655895,0.541284575099025,-1.11078162821451,0.266662356233116,0.718720710864969
ENSG00000197496.8,13.9398718820296,0.900953753798042,0.811161172950097,1.11069634968027,0.266699074004409,0.718720710864969
ENSG00000042429.14,61.2498538602342,-0.459466876932591,0.414084339202039,-1.10959732941846,0.267172582591205,0.718731891686927
ENSG00000100473.20,66.7417031099843,-0.454735195973124,0.409700857027728,-1.10992005062452,0.267033479505133,0.718731891686927
ENSG00000103356.18,71.5734779120291,-0.437721153710566,0.394352596570092,-1.10997406259696,0.267010203496748,0.718731891686927
ENSG00000123131.15,90.9898595368127,0.435026357597124,0.392075312389273,1.10954794614869,0.267193872743375,0.718731891686927
ENSG00000172732.14,64.8952140885654,-0.451481944265954,0.406810034082657,-1.10981024665242,0.267080802911748,0.718731891686927
ENSG00000196968.12,30.3398352185174,-0.625141986005565,0.563157060011465,-1.11006685416114,0.266970219005071,0.718731891686927
ENSG00000198053.14,18.8451196364903,-0.807531866636561,0.727536532100872,-1.10995370130032,0.2670189778636,0.718731891686927
ENSG00000132823.13,241.16359894716,0.256757897603414,0.231544583924194,1.10889183090318,0.267476848357169,0.719304380554526
ENSG00000014641.23,332.394543398266,-0.239070093175348,0.215981465604078,-1.10690096720426,0.268336747677069,0.719585788832414
ENSG00000112658.10,7.65718197597493,-1.2678793141559,1.14597261927142,-1.10637836614454,0.268562785276557,0.719585788832414
ENSG00000113141.20,486.843766278005,0.207764742062855,0.187509229216134,1.10802408463518,0.267851414530967,0.719585788832414
ENSG00000117226.15,20.6587196518892,0.736997351244459,0.665738877103518,1.1070366724728,0.268278073245466,0.719585788832414
ENSG00000129515.22,621.009952626599,0.238331404321349,0.215385421418634,1.10653452193552,0.26849523042488,0.719585788832414
